,,,,,tRun,pBrakeTotal,rPedal,vCar
5.50278759,0,100,49.50786712,,,,,
5.569498539,0,100,52.35876549,,,,,
5.632793427,0,100,55.42302504,,,,,
5.693287373,0,100,58.1751976,,,,,
5.751424789,0,100,60.68301038,,,,,
5.807540417,0,100,62.99293209,,,,,
5.861896038,0,100,65.13848472,,,,,
5.9147048,0,100,67.1425473,,,,,
5.966142654,0,100,69.01246005,,,,,
6.016352654,0,100,70.77116378,,,,,
6.065452576,0,100,72.43121723,,,,,
6.113541126,0,100,74.00835144,,,,,
6.160700798,0,100,75.51282487,,,,,
6.207004547,0,100,76.95181985,,,,,
6.2525177,0,100,78.33013601,,,,,
6.297296047,0,100,79.65173529,,,,,
6.341391087,0,100,80.9207307,,,,,
6.384848118,0,100,82.14034948,,,,,
6.427707195,0,100,83.31452609,,,,,
6.470003605,0,100,84.44958454,,,,,
6.511770248,0,100,85.54564842,,,,,
6.55303669,0,100,86.60542312,,,,,
6.593828678,0,100,87.63276757,,,,,
6.634166718,0,100,88.63398518,,,,,
6.674071312,0,100,89.61328509,,,,,
6.713560104,0,100,90.57169726,,,,,
6.752649784,0,100,91.51018299,,,,,
6.79135704,0,100,92.42962119,,,,,
6.829741478,0,100,93.33030024,,,,,
6.868361473,0.138222725,0,93.99046131,,,,,
6.90781641,0.702339844,0,92.18610255,,,,,
6.948208809,0.747195156,0,90.05247694,,,,,
6.989563942,0.715331172,0,87.95617735,,,,,
7.031902313,0.680432109,0,85.90821069,,,,,
7.075237751,0.642859336,0,83.91919251,,,,,
7.119577885,0.603197266,0,81.99999925,,,,,
7.164922714,0.561819063,0,80.1596397,,,,,
7.211261749,0.518718594,0,78.40834487,,,,,
7.25857544,0.474373008,0,76.75638009,,,,,
7.30683279,0.429274727,0,75.21222544,,,,,
7.355992794,0.383850664,0,73.78391467,,,,,
7.406003475,0.339077266,0,72.4776001,,,,,
7.456819058,0.301275371,0,71.29503955,,,,,
7.508485317,0.304929668,0,70.20066482,,,,,
7.561242104,0.382203906,0,68.96577506,,,,,
7.615485668,0.49998082,0,67.32347138,,,,,
7.671645641,0.598615195,0,65.23105133,,,,,
7.730108261,0.649838203,0,62.7995248,,,,,
7.791187763,0.654931602,0,60.18817283,,,,,
7.855126858,0.627677773,0,57.53061308,,,,,
7.922093868,0.579603477,0,54.92327798,,,,,
7.992146015,0.514341406,0,52.44545785,,,,,
8.065138817,0.429004922,0,50.19537038,,,,,
8.140646935,0.323618711,0,48.30942791,,,,,
8.217579842,0.159607354,0,46.91490006,,,,,
8.294514656,0,100,46.54541641,,,,,
8.371147156,0,100,46.91295342,,,,,
8.44758606,0,100,46.9145945,,,,,
8.522927284,0,100,47.14996266,,,,,
8.595912933,0,100,48.28527174,,,,,
8.665966988,0,100,50.23017298,,,,,
8.733097076,0,100,52.40736278,,,,,
8.797440529,0,100,54.70052692,,,,,
8.859178543,0,100,57.04580397,,,,,
8.918514252,0,100,59.41804557,,,,,
8.975698471,0,100,61.75983447,,,,,
9.030997276,0,100,63.97804788,,,,,
9.084644318,0,100,66.04681987,,,,,
9.136833191,0,100,67.98070047,,,,,
9.18874073,0,100,69.79077211,,,,,
9.242013931,0.478102578,0,68.72871775,,,,,
9.297311783,0.66964625,0,66.23977397,,,,,
9.35474968,0.632952109,0,63.7866456,,,,,
9.414434433,0.593377305,0,61.39590578,,,,,
9.47647953,0.555201992,0,59.07264256,,,,,
9.541000366,0.51888668,0,56.81480631,,,,,
9.608115196,0.483067656,0,54.62406557,,,,,
9.677913666,0.44449918,0,52.50957675,,,,,
9.750426292,0.39933332,0,50.50333065,,,,,
9.825557709,0.343762578,0,48.6554901,,,,,
9.90299511,0.270823184,0,47.04546903,,,,,
9.982117653,0.176968008,0,45.80645254,,,,,
10.06172276,0.033263342,0,45.06748523,,,,,
10.14116287,0,100,45.25561908,,,,,
10.22027111,0,100,45.25561908,,,,,
10.29786873,0,100,45.6347089,,,,,
10.37249756,0,100,47.02490745,,,,,
10.44341469,0,100,49.32169364,,,,,
10.51058483,0,100,52.06747696,,,,,
10.57437038,0,100,54.97717617,,,,,
10.63529682,0,100,57.7460857,,,,,
10.69382095,0,100,60.2681189,,,,,
10.75028706,0,100,62.59034528,,,,,
10.80496311,0,100,64.74668511,,,,,
10.85806465,0,100,66.76004486,,,,,
10.91009426,0,100,68.64312059,,,,,
10.96249294,0.093299268,0,69.55042577,,,,,
11.01662922,0.600492813,0,67.67232822,,,,,
11.07292461,0.680582813,0,65.14384742,,,,,
11.13159561,0.666130781,0,62.5783084,,,,,
11.19289398,0.650316445,0,59.97182473,,,,,
