vCar,NGear,gLong,gLat,sRun,tRun,aSteerNeutral,xCar,yCar,gSum,rPedal
54.12981166147066,1,-6.4513354301,14.095000267,63.9473724365,5.1128268242,5.449973997244908,-107.4805679321,20.1622390747,15.501250267,0
52.52816766374586,1,-6.6091661453,13.6738624573,64.9465484619,5.1824035645,5.613431098347185,-106.4834060669,20.2193317413,15.1873493195,0
50.86943600429119,1,-6.5417785645,13.4846553802,65.9457244873,5.2542963028,5.900632014407709,-105.4917144775,20.3399295807,14.9876880646,0
49.19717400586079,1,-6.3094587326,13.4831504822,66.9449005127,5.3286571503,6.304647519902881,-104.5101852417,20.5268135071,14.886390686,0
47.54878321969342,1,-5.931391716,13.6422615051,67.9440841675,5.4055843353,6.8241606770701715,-103.5444793701,20.783662796,14.8759098053,0
45.96881660318672,1,-5.4044947624,13.9372348785,68.9432601929,5.4850974083,7.452237550672907,-102.6016159058,21.1148281097,14.9484148026,0
44.5078489916408,1,-4.7330231667,14.337685585,69.9424362183,5.5671019554,8.168399958752492,-101.6903762817,21.5249595642,15.0986995697,0
43.22006697110642,1,-3.4037423134,14.7988853455,70.9416122437,5.6510453224,8.928857854294778,-100.8215637207,22.0183677673,15.1852712631,0
42.481099667000265,1,-0.6279296279,15.4891281128,71.940788269,5.7353610992,9.658709667953683,-100.0080871582,22.5980434418,15.5018510818,0
42.84214445240443,1,0.5976861119,17.2831878662,72.9399719238,5.819319725,10.071014039279452,-99.2644348145,23.2643413544,17.2935199738,100
42.84393316245347,1,0.5178613663,16.1054725647,73.9391479492,5.9029736519,9.39688802629046,-98.6053390503,24.0136966705,16.1137962341,100
43.154063224589414,1,3.6076612473,12.8633756638,74.9383239746,5.9846076965,7.329740669493783,-98.0361862183,24.8332862854,13.359703064,100
44.97187678793856,1,5.833325386,9.3879432678,75.9375,6.0632352829,4.729259691584438,-97.5376815796,25.698059082,11.0526542664,100
46.52336480462815,1,-0.7055532932,4.5813531876,76.9366836548,6.1422157288,2.2952758944608664,-97.0855178833,26.5885105133,4.6353645325,0
44.5637041255967,1,-8.5976305008,-0.0339289606,77.9358596802,6.2258424759,-0.019415551513434492,-96.6561965942,27.4908370972,8.597697258,0
41.46190568835545,1,-9.828836441,-3.6950964928,78.9350357056,6.315890789,-2.4411593429328726,-96.2266921997,28.3937206268,10.5004653931,0
38.429372561541946,1,-8.7059869766,-6.8125863075,79.934211731,6.4130549431,-5.227530959888846,-95.7729492188,29.2852058411,11.0546617508,0
35.610997130802296,1,-7.1751251221,-9.6574392319,80.9333877563,6.5175366402,-8.588664914010565,-95.2682189941,30.1491336823,12.0311498642,0
33.244018662385066,1,-3.146463871,-12.2833442688,81.9325714111,6.6257376671,-12.429759253281846,-94.6827087402,30.9600563049,12.679936409,0
33.244018662385066,1,0.8172587156,-15.5247898102,82.9317474365,6.7329220772,-15.564880969569781,-93.9878540039,31.6777667999,15.5462856293,100
33.87471922290462,1,0.8172587156,-17.027015686,83.9309234619,6.8391084671,-15.841780253442879,-93.1708602905,32.2485046387,17.0466175079,100
33.87471922290462,1,2.0291028023,-13.8341617584,84.9300994873,6.9429688454,-12.982666482045312,-92.2578201294,32.6460456848,13.9821777344,100
35.392067252266195,1,6.9215097427,-11.5796117783,85.9292755127,7.0399246216,-9.313763773468693,-91.2953872681,32.9040565491,13.4905414581,100
38.807370611063504,1,11.1151332855,-9.6281080246,86.9284591675,7.1281237602,-6.420115286096405,-90.3105697632,33.0611801147,14.705327034,100
42.75900204767836,1,13.2687091827,-7.6423020363,87.9276351929,7.208422184,-4.238629273844334,-89.3161239624,33.1478538513,15.3121986389,100
