vCar,gLong,gLat,sRun,tRun,IDraw,RInternal,rSoc,ECapacity,QCellDischarge,VCell,VBattery,xCar,yCar
58.360900729359415,0.9317806363,-19.8085441589,594.8012084961,25.8097076416,144.9033508301,0.1399662793,0.9366569519,6958.6313476562,0,0,551.9707641602,-9377368,5170715
58.360900729359415,2.0416002274,-12.7153511047,599.7994995117,26.1069068909,144.9352111816,0.139992848,0.9358046055,6952.2993164062,0,0,551.9549560547,-9377373,5170713
62.72957628105897,1.4220424891,0.8419487476,604.7978515625,26.3967437744,144.9393615723,0.1400177926,0.9349523187,6945.9677734375,0,0,551.9458618164,-9377378,5170712
61.436671889422485,3.1026325226,13.0136919022,609.7962036133,26.6729850769,144.9417572021,0.1400427222,0.9340956807,6939.6030273438,0,0,551.9371337891,-9377383,5170711.5
68.83990617075506,3.7252526283,21.3413658142,614.7944946289,26.9343643188,144.9440460205,0.140067786,0.9332851171,6933.5815429688,0,0,551.9284057617,-9377387,5170709
68.84566712194629,0.1613364667,17.4790725708,619.7928466797,27.1951675415,144.9463348389,0.1400914937,0.9324780107,6927.5849609375,0,0,551.9201049805,-9377391,5170705.5
69.14287452570038,2.6819989681,11.6913452148,624.7911987305,27.4470729828,144.9485168457,0.1401151121,0.93171978,6921.9521484375,0,0,551.9118041992,-9377394,5170701.5
73.72019401464478,6.3945775032,9.9545240402,629.7894897461,27.6808280945,144.9506835938,0.1401372999,0.9310239553,6916.7827148438,0,0,551.9040527344,-9377396,5170697
80.23499898336081,-0.2870324552,10.5099983215,634.7878417969,27.9153556824,0,0.1401576549,0.9310239553,6916.7827148438,0,0,589.9763793945,-9377397,5170692
73.21401995046403,-9.2412528992,10.1191577911,639.7861938477,28.1784267426,0,0.1401576549,0.9310239553,6916.7827148438,0,0,589.9763793945,-9377399,5170687.5
63.58558221853421,-9.4193668365,10.5222454071,644.7844848633,28.4843959808,0,0.1401576549,0.9310239553,6916.7827148438,0,0,589.9763793945,-9377399,5170682.5
54.033437608089905,-6.9435319901,11.2868013382,649.7828369141,28.8392925262,0,0.1401576549,0.9310239553,6916.7827148438,0,0,589.9763793945,-9377399,5170677.5
47.370530188135845,-2.7423479557,12.7860393524,654.7811279297,29.2206382751,0,0.1401576549,0.9310239553,6916.7827148438,0,0,589.9763793945,-9377398,5170672.5
47.00036675762659,0.6596768498,16.0167140961,659.7794799805,29.594959259,144.4143371582,0.1401576549,0.929895401,6908.3984375,0,0,552.0157470703,-9377395,5170668.5
49.141610695951435,0.7974778414,19.576669693,664.7778320312,29.9610958099,144.9234008789,0.1401906759,0.9288128018,6900.3559570312,0,0,551.8925170898,-9377390,5170666.5
49.149479647056275,1.6747361422,15.2586555481,669.7761230469,30.3121166229,144.9557647705,0.1402223408,0.9278063178,6892.8784179688,0,0,551.875,-9377385,5170667
53.37456057175154,2.7328221798,6.742890358,674.7744750977,30.6414794922,144.9603729248,0.1402517855,0.9268439412,6885.728515625,0,0,551.8642578125,-9377381,5170669
55.89079505468395,2.5775845051,-10.9051647186,679.7728271484,30.9538936615,144.963180542,0.1402799487,0.9259310365,6878.9462890625,0,0,551.8543701172,-9377377,5170672.5
59.30201630978695,-1.246336937,-22.4385261536,684.7711181641,31.2745704651,0,0.1403066516,0.9259310365,6878.9462890625,0,0,589.9274291992,-9377372,5170674
52.92295418247665,-5.5754995346,-1.1101343632,689.7694702148,31.6401424408,0,0.1403066516,0.9259310365,6878.9462890625,0,0,589.9274291992,-9377367,5170673.5
45.519719901504075,-2.3495056629,12.2296085358,694.7677612305,32.0298805237,0,0.1403066516,0.9259310365,6878.9462890625,0,0,589.9274291992,-9377362,5170672.5
46.81934998056001,0.4661434889,23.8382492065,699.7661132812,32.4141731262,144.4277496338,0.1403066516,0.9249227643,6871.4555664062,0,0,551.9638061523,-9377358,5170674
46.82765151811878,0.3398710787,16.6868343353,704.764465332,32.7946815491,144.9370422363,0.1403361559,0.9239251018,6864.0439453125,0,0,551.8416748047,-9377355,5170678
47.750567573385936,3.6663246155,7.7982420921,709.7627563477,33.1413497925,144.9691162109,0.1403653324,0.923037529,6857.4497070312,0,0,551.825012207,-9377353,5170682.5
56.06087014450388,8.7061805725,-1.0800229311,714.7611083984,33.4329605103,144.9734954834,0.1403913051,0.922275722,6851.7905273438,0,0,551.8154907227,-9377352,5170687.5
67.34983854552917,9.8053865433,-13.5848636627,719.7594604492,33.6850852966,144.9759979248,0.1404135972,0.9215846658,6846.65625,0,0,551.8076171875,-9377351,5170692.5
75.38915325079739,4.4286594391,-19.518409729,724.7577514648,33.9237670898,144.9780578613,0.1404338181,0.9209205508,6841.7221679688,0,0,551.8005371094,-9377349,5170697
75.38915325079739,1.8543746471,-11.7429981232,729.7561035156,34.1576042175,144.9799346924,0.1404532343,0.9202775955,6836.9458007812,0,0,551.7937011719,-9377346,5170701.5
78.51125234611811,5.4274277687,2.1766035557,734.7543945312,34.378780365,144.9817199707,0.1404720545,0.9196709394,6832.4384765625,0,0,551.787109375,-9377343,5170705
84.2011907260474,5.9610118866,15.6800842285,739.752746582,34.5880126953,144.9834442139,0.1404898018,0.919085443,6828.0888671875,0,0,551.7808837891,-9377340,5170709
87.79859232840613,5.8818483353,16.2979564667,744.7510986328,34.7872695923,144.9850769043,0.1405069232,0.9184949994,6823.7026367188,0,0,551.7749023438,-9377337,5170713
92.81112112478309,-2.9655878544,8.6968536377,749.7493896484,34.9916114807,0,0.1405242085,0.9184949994,6823.7026367188,0,0,589.8558349609,-9377335,5170718
83.30768024105579,-10.1512527466,8.9456529617,754.7477416992,35.2156105042,0,0.1405242085,0.9184949994,6823.7026367188,0,0,589.8558349609,-9377334,5170722.5
77.35362387770088,-3.487030983,15.3824596405,759.74609375,35.4477157593,0,0.1405242085,0.9184949994,6823.7026367188,0,0,589.8558349609,-9377332,5170727.5
77.69578592689125,0.2078929842,21.0981235504,764.7443847656,35.6793022156,144.4473571777,0.1405242085,0.9178325534,6818.78125,0,0,551.8879394531,-9377332,5170732
77.70103189417448,1.8608263731,14.1366567612,769.7427368164,35.9064407349,144.9569702148,0.1405435801,0.9171891212,6814.0009765625,0,0,551.7690429688,-9377332,5170737
